GLN Proveedor CPP                  Descripción                                                            Marca                          División                              GTIN13 Unid/c Promo F alta         Estado 
7737001260012 441040               BANDITAS BAND-AID TOY STORY BIL 25 UN                                  BAND-AID                       BAND AID BRAND ADHESIVE BANDAG 7891010938840     24 N     20180402T1445  A      
7737001260012 71503                TOAL HÚMEDAS J'S BABYRECIÉN NAC 96UN                                   JOHNSON'S BABY                 BABY CARE                      7891010589639     12 N     20161021T1608  A      
7737001260012 71838                JOHNSON´S BODY LOTIION NUTRICION FORTALECEDORA                         JOHNSON'S                      JOHNSON'S ADULT                7891010718381     12 N     20170710T1558  A      
7737001260012 71907                JB TOA. HUMEDAS HORA DEL SUEÑO 24X48                                   JOHNSON'S BABY                 JB WIPES                       7891010568764     24 N     20161114T1117  A      
7737001260012 71956                JOHNSON´S BODY LOTION LAVANDA Y MANZANILLA                             JOHNSON'S                      JOHNSON'S ADULT                7891010719562     12 N     20170711T0930  A      
7737001260012 71960                JOHNSON´S BODYLOTION HIDRATACION PROLONGADA X200ML                     JOHNSON'S                      JOHNSON´S                      7891010719609     12 N     20161114T1117  A      
7737001260012 7500519              C&C LIMP.EXFOL.P.NEGROS 12X80                                          CLEAN & CLEAR                  BEAUTY                         7891010008697     12 N     20080516T0955  A      
7737001260012 7500978              NEU DEEP CLEAN 6X150G                                                  NEUTROGENA                     BEAUTY                         7891010009250      6 N     20080516T0955  A      
7737001260012 7501101              OB MEDIO 20X20 NP                                                      OB                             SANPRO INTERNAL                7891010010560     20 N     20080516T0955  A      
7737001260012 7501362              NEU CLEAN ACOND C.NOR 6X300ML                                          NEUTROGENA                     BEAUTY                           70501027509      6 N     20080516T0955  A      
7737001260012 7501408              OB SUPER 20X20 NP                                                      OB                             SANPRO INTERNAL                7891010010591     20 N     20080516T0955  A      
7737001260012 7501710              NEU ESP.P/ACNE 200ML                                                   NEUTROGENA                     BEAUTY                           70501017104      6 N     20080516T0955  A      
7737001260012 7502627              SUNDOWN BLQ FPS50 TIN 12X120ML                                         SUNDOWN                        BEAUTY                         7702031312277     12 N     20131121T1634  A      
7737001260012 7502718              J'S PROTECTOR DE SENOS 12X12'S                                         JOHNSON´S                      BABY TOILETRIES                7891010101688     12 N     20121012T1232  A      
7737001260012 7503557              COTONETES* CANNISTER 30X150'S                                          JOHNSON'S BABY                 COTTON SWABS                   7891010032937     30 N     20160223T1907  A      
7737001260012 7503911              C&C JABON FAC.PUNTOS N.12X80                                           CLEAN & CLEAR                  BEAUTY                         7891010692292     12 N     20080516T0955  A      
7737001260012 7504547              REACH* CEP CON/CLEAN MEDIO X12                                         JOHNSON'S                      ORAL TOOTHBRUSHES               810508000514     12 N     20110601T1655  A      
7737001260012 7550011              CEPILLO REACH ACCESS 12X2                                              REACH                          ORAL CARE                      7891010500115     12 N     20121012T1232  A      
7737001260012 7550567              C&C ADVANTAGE GEL 12X15GR                                              CLEAN & CLEAR                  BEAUTY                         7891010505684     12 N     20080516T0955  A      
7737001260012 7569012              NEUT HIDR  FACIAL PELE NORMAL 6 X 55G                                  NEUTROGENA                     BEAUTY                         7891010690120      6 N     20080930T1228  A      
7737001260012 7569013              NEUT HIDR FACIAL COMBINADA/OLEOSA 6 X55G                               NEUTROGENA                     BEAUTY                         7891010690137      6 N     20080930T1228  A      
7737001260012 7569016              REACH* CEP ESSENTIAL JRX12                                             JOHNSON'S                      ORAL TOOTHBRUSHES              7891010504038     12 N     20080516T0955  A      
7737001260012 7569257              REACH* HILO REG C/CERA 24X50M                                          JOHNSON'S                      ORAL FLOSS                     7891010038892     24 N     20110120T1602  A      
7737001260012 7569258              REACH CINTA DENTAL 24X50M                                              JOHNSON'S                      ORAL FLOSS                     7891010038953     24 N     20080516T0955  A      
7737001260012 7569663              ESC J&J R ESSENCIAL PQ DURA 12UN EXP                                   JOHNSON'S                      ORAL TOOTHBRUSHES              7891010696634     12 N     20080516T0955  A      
7737001260012 7569726              PR ESC R COMFORT CLEAN GR MD L2P1 12UN                                 OFERTAS                        ORAL TOOTHBRUSHES              7891010697266     12 N     20100319T0918  A      
